symbol,time,open_time,score,grade,tf,change_24h,entry,mfe12,mae12,ret12,atr_exp,bar_chg_pct,breakout_pct,ema_aligned,fractal_break,is_late,rsi_raw,rsi_zone,sar_trend,taker_buy,vol_ratio,vs_btc_pct
ARBUSDT,2026-09-02 18:15,1788362100000,64.66,watch,1h,6.972,0.1166,-0.172,-1.029,-0.858,0.0,0.5172,0.0,0,0.0,0,60.955,0.7416,1.0,0.0,0.0,0.0
ARBUSDT,2026-09-02 18:45,1788363900000,64.18,watch,1h,6.204,0.1164,7.904,6.014,7.388,0.0,0.3448,0.0,0,0.0,0,60.536,0.7296,1.0,0.0,0.0,0.0
ARBUSDT,2026-09-02 19:15,1788365700000,61.82,watch,1h,6.642,0.1156,5.45,4.152,4.412,0.0,-0.8576,0.0,0,0.0,0,58.467,0.6705,1.0,0.0,0.0,0.0
ARBUSDT,2026-09-02 19:45,1788367500000,100.0,strong,1h,16.063,0.125,-1.2,-2.4,-2.32,0.0,7.2041,0.0,0,1.0,0,70.314,1.0,1.0,0.0,0.0,0.0
ARBUSDT,2026-09-02 20:15,1788369300000,79.94,strong,1h,11.967,0.1207,3.397,2.486,2.817,0.0,-1.0656,0.0,0,0.4599,0,64.264,0.8361,1.0,0.0,0.0,0.0
ARBUSDT,2026-09-02 20:45,1788371100000,95.46,strong,1h,12.742,0.1221,2.375,0.901,1.884,0.0,0.082,0.0,0,1.0,0,66.03,0.8866,1.0,0.0,0.0,0.0
ARBUSDT,2026-09-02 21:15,1788372900000,73.28,strong,1h,15.121,0.1241,0.806,0.0,0.242,0.0,1.4718,0.0,0,0.0,0,68.492,0.9569,1.0,0.0,0.0,0.0
ARBUSDT,2026-09-02 21:45,1788374700000,99.37,strong,1h,17.137,0.1244,0.161,-0.241,-0.08,0.0,1.7171,0.0,0,1.0,0,69.447,0.9842,1.0,0.0,0.0,0.0
ARBUSDT,2026-09-02 22:15,1788376500000,99.4,strong,1h,17.137,0.1244,-0.08,-1.045,-1.045,0.0,0.2417,0.0,0,1.0,0,69.473,0.9849,1.0,0.0,0.0,0.0
ARBUSDT,2026-09-02 22:45,1788378300000,99.76,strong,1h,15.093,0.1243,-1.126,-1.689,-1.448,0.0,0.1612,0.0,0,1.0,0,69.794,0.9941,1.0,0.0,0.0,0.0
