symbol,time,open_time,score,grade,tf,change_24h,entry,mfe12,mae12,ret12,atr_exp,bar_chg_pct,breakout,breakout_pct,btc,candle,ema,ema_aligned,is_late,rsi,rsi_raw,squeeze,taker,taker_buy,vol,vol_ratio,vs_btc_pct
AAVEUSDT,2026-09-02 07:30,1788323400000,64.75,watch,1h,4.142,131.51,2.745,2.152,2.585,1.3915,1.7013,0.5031,1.0061,1.0,0.99,1.0,1,0,0.7,68.616,0.8672,0.4151,0.62792,0.5229,2.7687,3.2117
AAVEUSDT,2026-09-02 08:20,1788326400000,61.15,watch,5m,6.914,134.99,-1.245,-1.533,-1.474,3.1107,1.481,0.729,1.4581,1.0,0.9985,1.0,1,1,0.0,84.189,0.8019,0.682,0.69732,0.2955,2.0866,1.839
AAVEUSDT,2026-09-02 11:55,1788339300000,65.22,late,5m,2.568,128.62,-1.469,-1.656,-1.656,1.0265,-0.225,0.0,-2.8843,0.0,0.4525,0.3,0,1,0.0,16.272,0.8327,1.0,0.78627,1.0,9.9532,-1.0589
AAVEUSDT,2026-09-02 15:20,1788351600000,59.4,watch,5m,0.197,127.4,-0.526,-0.824,-0.526,1.7548,0.5049,0.2,0.3466,0.4486,0.9483,1.0,1,0,0.9617,58.69,1.0,0.0855,0.54222,0.686,3.2579,0.5971
AAVEUSDT,2026-09-02 16:40,1788356400000,83.46,strong,5m,1.683,128.12,-0.609,-1.046,-0.718,4.2843,1.449,0.3023,0.6046,0.4591,1.0,1.0,1,0,0.6181,64.873,1.0,1.0,0.8612,0.8822,3.8467,0.6182
AAVEUSDT,2026-09-02 18:55,1788364500000,58.4,watch,5m,0.024,127.19,-0.094,-0.362,-0.362,0.4578,0.1654,0.0,-0.1727,0.2333,1.0,1.0,1,0,0.8089,54.559,1.0,1.0,0.84759,0.0,0.3858,0.1666
AAVEUSDT,2026-09-02 20:45,1788371100000,60.34,watch,5m,0.886,127.53,-0.188,-0.525,-0.196,1.7596,0.2831,0.0,0.1885,0.4865,0.8479,1.0,1,0,0.8969,59.856,1.0,0.0,0.35745,0.9494,4.0483,0.673
AAVEUSDT,2026-09-02 21:15,1788372900000,64.01,late,5m,1.445,127.07,0.11,-0.173,-0.102,1.1001,-0.1022,0.0,-0.6489,0.0,0.3929,0.3,0,1,0.6323,51.382,1.0,0.8165,0.73229,0.8345,3.7035,-0.4509
AAVEUSDT,2026-09-02 23:00,1788379200000,62.36,watch,5m,1.434,127.35,-0.133,-0.267,-0.267,2.6601,0.3942,0.0,0.0079,0.2522,0.926,0.3,0,0,0.8854,60.062,1.0,0.8463,0.74004,0.4077,2.4231,0.2045
AAVEUSDT,2026-09-03 01:20,1788387600000,60.41,watch,5m,0.475,126.8,0.047,-0.126,-0.118,0.7488,0.1184,0.0,-0.4553,0.2433,0.988,0.3,0,0,0.5236,49.425,1.0,0.7639,0.71862,0.4946,2.6837,0.1866
AAVEUSDT,2026-09-03 03:10,1788394200000,69.63,late,5m,-0.657,126.97,0.425,-0.15,0.331,1.5402,-0.3062,0.0,-0.6728,0.24,0.3,0.3,0,1,0.557,50.026,1.0,0.9097,0.75652,1.0,7.0858,0.18
AAVEUSDT,2026-09-03 08:05,1788411900000,70.82,strong,5m,-3.049,127.84,-0.164,-0.43,-0.407,1.5728,0.0156,0.0,-0.0156,0.5314,0.4959,1.0,1,0,0.6386,64.506,1.0,0.7102,0.70464,0.96,4.08,0.7629
AAVEUSDT,2026-09-03 10:00,1788418800000,68.47,watch,5m,-3.996,128.07,-0.055,-0.383,-0.133,2.7991,0.5654,0.2,0.2034,0.0921,0.9892,1.0,1,0,0.7923,61.738,1.0,1.0,0.80254,0.339,2.2171,-0.1159
AAVEUSDT,2026-09-03 11:15,1788423300000,62.73,watch,5m,-1.727,128.6,1.47,0.739,0.84,0.788,0.2573,0.0,-0.0932,0.5351,1.0,1.0,1,0,0.5643,65.843,1.0,1.0,0.81834,0.2029,1.8086,0.7701
AAVEUSDT,2026-09-03 14:15,1788434100000,60.73,watch,5m,2.712,129.53,1.228,0.865,1.073,1.4916,0.4965,0.0,-0.1234,0.394,0.9824,0.3,0,0,0.9973,57.951,1.0,1.0,0.87679,0.1259,1.5778,0.488
AAVEUSDT,2026-09-03 20:00,1788454800000,60.95,watch,5m,5.499,133.73,0.523,0.179,0.471,1.6559,0.5791,0.0,-0.5281,0.4489,0.9911,1.0,1,0,0.868,60.377,1.0,1.0,0.79239,0.0521,1.3562,0.5978
AAVEUSDT,2026-09-03 21:35,1788460500000,60.84,watch,5m,6.027,134.58,-0.32,-0.632,-0.364,0.8637,0.0074,0.0,-0.1187,0.353,0.44,1.0,1,0,0.871,60.321,1.0,1.0,0.81684,0.2826,2.3768,0.4061
AAVEUSDT,2026-09-04 00:05,1788469500000,58.52,watch,5m,6.006,134.5,0.275,-0.022,0.037,0.6915,0.0521,0.0,-0.2003,0.276,0.8423,1.0,1,0,0.796,54.327,1.0,1.0,0.79112,0.0652,1.3956,0.2519
AAVEUSDT,2026-09-04 01:00,1788472800000,65.77,late,5m,6.467,134.83,-1.409,-1.647,-1.409,1.6326,-0.0148,0.0,-0.4651,0.3121,0.2783,1.0,1,1,0.8112,54.601,1.0,0.5163,0.65424,0.9957,4.1871,0.3241
AAVEUSDT,2026-09-04 06:10,1788491400000,78.19,strong,5m,5.345,134.03,-0.276,-0.657,-0.276,0.8816,0.1046,0.0,-0.1936,0.2134,0.82,1.0,1,0,0.9238,59.372,1.0,1.0,0.8541,0.8297,3.6891,0.1269
AAVEUSDT,2026-09-04 07:25,1788495900000,67.33,watch,5m,6.349,134.85,-0.178,-0.578,-0.564,1.9485,0.2602,0.2,0.2602,0.4541,0.9468,1.0,1,0,0.7,67.62,1.0,1.0,0.78992,0.2816,2.0449,0.6083
AAVEUSDT,2026-09-04 11:55,1788512100000,58.43,watch,15m,4.505,135.94,-1.14,-1.501,-1.493,1.9729,1.0256,0.3481,0.6963,0.6635,0.9961,1.0,1,0,0.7,66.715,1.0,0.4496,0.6369,0.2857,2.057,1.0271
