min_score,pullback_pct,timeout_bars,tp_pct,sl_pct,trailing_act,trailing_dist,total_signals,filled_trades,fill_rate_pct,win_rate_pct,net_pnl_pct,profit_factor,expectancy_pct,max_dd_pct,oos_win_rate_pct,oos_net_pnl_pct,score_metric
75.0,0.8,2,0.8,3.0,1.2,0.4,44989,493,0.9,93.1,308.97,3.49,0.553,6.90,94.4,145.84,110.85
65.0,1.0,3,0.7,3.5,1.5,0.5,44989,825,1.6,92.8,385.44,3.06,0.439,7.27,93.1,164.14,110.45
60.0,1.0,2,0.7,3.0,1.5,0.5,44989,744,1.4,93.4,376.55,3.60,0.485,7.72,93.5,157.34,110.42
70.0,1.0,3,0.7,3.0,1.2,0.4,44989,616,1.2,92.4,347.46,3.80,0.547,8.03,92.0,139.97,109.30
60.0,1.0,2,0.7,3.5,2.0,0.6,44989,744,1.4,94.4,345.77,3.79,0.461,7.48,94.2,137.25,109.26
70.0,1.0,4,0.8,3.0,1.5,0.5,44989,725,1.5,89.2,345.36,3.11,0.504,7.93,87.7,114.92,108.88
55.0,1.0,2,0.7,3.5,1.2,0.4,44989,1066,2.1,94.5,589.20,4.51,0.549,11.22,94.2,230.05,108.79
75.0,0.8,2,0.8,3.5,1.2,0.4,44989,493,0.9,94.5,328.41,3.76,0.574,7.48,96.5,159.13,108.35
55.0,1.0,2,0.8,3.0,1.2,0.4,44989,1066,2.1,91.4,551.78,3.02,0.497,9.72,91.7,226.95,107.99
65.0,0.8,2,0.7,3.0,1.5,0.5,44989,880,1.7,92.6,383.12,3.16,0.426,7.49,92.2,154.98,107.88
75.0,1.0,2,0.7,3.5,2.0,0.6,44989,353,0.7,94.3,208.14,5.01,0.583,6.48,94.2,82.90,107.84
60.0,0.8,2,0.7,3.0,1.2,0.4,44989,1095,2.1,91.9,463.75,2.80,0.408,8.00,91.6,192.14,107.69
70.0,1.0,2,0.8,3.0,1.2,0.4,44989,460,0.9,92.0,306.05,4.31,0.651,8.38,91.5,121.92,107.66
65.0,1.0,2,0.8,3.5,2.5,0.8,44989,613,1.2,93.0,301.16,3.63,0.493,7.27,93.0,118.81,106.58
65.0,1.0,4,0.8,3.5,1.5,0.5,44989,985,2.0,89.5,429.32,2.59,0.434,8.07,89.5,162.37,106.38
75.0,0.8,3,0.7,3.5,1.5,0.5,44989,616,1.2,93.2,306.27,3.62,0.469,6.98,93.4,130.30,106.00
70.0,1.0,3,0.7,3.5,1.2,0.4,44989,616,1.2,93.0,350.83,4.33,0.577,8.94,92.0,131.96,105.92
60.0,1.0,2,0.8,3.5,2.0,0.6,44989,744,1.4,92.5,362.32,3.31,0.489,8.15,92.1,141.32,105.32
75.0,0.8,2,0.8,3.0,1.5,0.5,44989,493,0.9,93.1,293.40,3.36,0.525,6.94,94.4,138.48,104.74
70.0,1.0,2,0.7,2.5,1.5,0.5,44989,460,0.9,91.3,253.01,3.26,0.504,6.35,92.1,110.47,104.70
70.0,1.0,2,0.7,3.5,2.5,0.8,44989,460,0.9,94.3,220.67,4.77,0.496,6.57,93.8,80.21,104.46
75.0,0.8,2,0.7,3.0,1.5,0.5,44989,493,0.9,94.7,285.03,4.68,0.536,7.34,94.9,126.99,104.34
55.0,1.0,2,0.8,3.5,1.2,0.4,44989,1066,2.1,92.6,585.74,3.51,0.538,11.22,92.7,233.69,104.23
75.0,0.8,2,0.7,3.5,2.5,0.8,44989,493,0.9,95.9,245.42,4.94,0.469,6.43,96.5,107.14,103.62
70.0,1.0,2,0.8,3.5,1.2,0.4,44989,460,0.9,92.6,308.76,4.99,0.685,9.38,91.5,114.93,103.59
75.0,1.0,2,0.8,3.5,1.2,0.4,44989,353,0.7,92.9,261.52,4.94,0.719,8.50,92.8,106.90,103.30
75.0,0.8,2,0.8,3.5,1.5,0.5,44989,493,0.9,94.5,312.62,3.63,0.546,7.48,96.5,151.53,103.10
65.0,1.0,2,1.0,3.5,2.5,0.8,44989,613,1.2,88.6,308.56,2.55,0.498,7.22,88.9,124.43,102.87
75.0,1.0,4,0.8,3.5,1.2,0.4,44989,537,1.1,90.1,310.23,3.56,0.594,8.68,88.6,111.11,102.27
75.0,1.0,4,0.8,3.0,1.5,0.5,44989,537,1.1,89.4,283.51,3.37,0.552,7.93,87.6,98.75,102.26
75.0,1.0,4,0.7,3.5,2.0,0.6,44989,537,1.1,92.6,255.27,3.64,0.480,6.98,92.1,94.43,102.25
65.0,1.0,2,0.7,3.0,2.5,0.8,44989,613,1.2,93.6,264.37,3.24,0.411,6.22,94.2,112.30,102.13
75.0,1.0,2,0.7,3.0,2.5,0.8,44989,353,0.7,93.8,178.91,3.83,0.482,5.48,94.2,75.20,102.06
75.0,1.0,3,0.7,3.5,1.5,0.5,44989,466,0.9,92.7,258.25,4.28,0.566,7.76,91.2,97.53,102.02
75.0,0.8,3,0.8,3.0,1.2,0.4,44989,616,1.2,90.4,319.29,2.79,0.474,7.11,90.9,141.71,101.95
65.0,1.0,2,0.7,3.5,2.5,0.8,44989,613,1.2,94.8,283.79,3.98,0.450,7.04,95.1,117.17,101.86
60.0,0.8,2,0.7,3.5,2.5,0.8,44989,1095,2.1,93.3,387.23,2.92,0.357,7.48,92.8,149.51,101.84
75.0,0.8,3,0.7,3.0,1.2,0.4,44989,616,1.2,92.2,317.81,3.47,0.484,7.55,92.1,136.32,101.17
55.0,1.0,2,0.7,3.0,1.5,0.5,44989,1066,2.1,93.4,505.31,3.55,0.463,9.96,93.4,202.41,101.00
70.0,1.0,4,0.7,3.5,1.5,0.5,44989,725,1.5,92.6,359.88,3.69,0.496,8.72,92.5,133.33,100.93
65.0,1.0,3,0.8,3.5,1.5,0.5,44989,825,1.6,90.7,394.79,2.83,0.469,8.46,90.7,158.60,100.81
